name,Type,conr2,margr2,intercept,slope,30%,Limit,Timepoint
tg_ldl_2_mg_dl,Serum,0.991121099,0.019825308,2.784008771,0.083898538,0.835202631,3.619211403,9.954912807
f_chol_ldl_6_mg_dl,Serum,0.959796922,0.125051396,7.930744278,-0.23305738,2.379223283,5.551520995,10.20874467
phosl_ldl_6_mg_dl,Serum,0.930618582,0.130100572,17.54567163,-0.514945272,5.263701489,12.28197014,10.22186585
f_chol_idl_mg_dl,Serum,0.982568347,0.018723247,3.521713267,0.101181122,1.05651398,4.578227247,10.44180928
f_chol_hdl_2_mg_dl,Serum,0.979905063,0.04047435,2.004369185,0.057538469,0.601310756,2.605679941,10.45058662
tg_hdl_1_mg_dl,Serum,0.991669332,0.017565027,5.266988092,0.151101985,1.580096428,6.847084519,10.45715204
methionine,Serum,0.664686948,0.094600132,0.097099459,-0.002716577,0.029129838,0.067969622,10.72299536
f_chol_vldl_2_mg_dl,Serum,0.995188849,0.009875519,1.794490663,0.048904889,0.538347199,2.332837862,11.00804449
acetone,Serum,0.390781892,0.020684081,0.01973573,0.000517378,0.005920719,0.025656449,11.44369445
f_chol_vldl_3_mg_dl,Serum,0.995722933,0.009758643,1.622840877,0.036959854,0.486852263,2.10969314,13.1724618
tg_hdl_mg_dl,Serum,0.991604456,0.022366491,15.76487941,0.342053431,4.729463824,20.49434324,13.82668144
f_chol_hdl_1_mg_dl,Serum,0.994540533,0.012303694,4.985621657,0.106563057,1.495686497,6.481308154,14.03569433
glutamine,Serum,0.918699499,0.059582047,0.729774121,-0.015595687,0.218932236,0.510841885,14.03799899
tg_ldl_mg_dl,Serum,0.995068639,0.013187016,26.32026725,0.534688792,7.896080174,34.21634742,14.76761864
chol_hdl_4_mg_dl,Serum,0.985038202,0.058699483,21.51639628,-0.434032714,6.454918885,15.0614774,14.87196398
idl_particles_nmol_l,Serum,0.993715448,0.009344408,116.5018045,2.156332587,34.95054134,151.4523458,16.20832591
apo_b_idl_mg_dl,Serum,0.993736649,0.009305054,6.408518919,0.118313513,1.922555676,8.331074595,16.24967107
f_chol_hdl_mg_dl,Serum,0.985147455,0.018960637,14.22845841,0.254690265,4.268537524,18.49699594,16.75972002
phosl_vldl_5_mg_dl,Serum,0.976457626,0.010497506,0.952763547,-0.016593924,0.285829064,0.666934483,17.2249226
apo_a2_hdl_4_mg_dl,Serum,0.982996974,0.06542978,22.06709474,-0.36991579,6.620128421,15.44696632,17.8963121
isoleucine,Serum,0.707342073,0.017812829,0.068190913,0.001134848,0.020457274,0.088648186,18.02644553
tg_ldl_5_mg_dl,Serum,0.990380142,0.00623121,4.13545609,0.067223985,1.240636827,5.376092917,18.45527049
chol_vldl_mg_dl,Serum,0.997893311,0.006600596,23.183182,0.362069666,6.954954601,30.1381366,19.20888506
phosl_hdl_4_mg_dl,Serum,0.986770063,0.105876489,30.88319303,-0.479298839,9.26495791,21.61823512,19.33023232
f_chol_vldl_1_mg_dl,Serum,0.996214937,0.008163739,4.762955363,-0.071959227,1.428886609,3.334068754,19.85689209
chol_vldl_2_mg_dl,Serum,0.996221555,0.003841246,4.660780793,0.067803201,1.398234238,6.059015031,20.62195019
f_chol_ldl_mg_dl,Serum,0.983077292,0.028181942,34.29501152,0.456831413,10.28850346,44.58351498,22.52144483
tg_ldl_1_mg_dl,Serum,0.987433013,0.004314643,6.917353128,0.091907812,2.075205938,8.992559066,22.57921162
tg_hdl_3_mg_dl,Serum,0.991644167,0.010544842,3.287749567,0.042175072,0.98632487,4.274074438,23.38644183
tg_vldl_1_mg_dl,Serum,0.994513299,0.007536417,68.31284739,-0.863074565,20.49385422,47.81899317,23.74517227
chol_vldl_4_mg_dl,Serum,0.997372547,0.00430794,4.201715145,0.052514143,1.260514543,5.462229688,24.00333477
glycerol,Serum,0.728297671,0.00524457,0.192151381,0.00225477,0.057645414,0.249796796,25.56598653
phosl_vldl_1_mg_dl,Serum,0.995273993,0.005677408,11.05652707,-0.129254511,3.31695812,7.739568946,25.66222329
apo_a1_hdl_1_mg_dl,Serum,0.997353909,0.002461408,31.28209259,0.363784568,9.384627778,40.66672037,25.79721244
tg_ldl_6_mg_dl,Serum,0.984378828,0.01384276,6.234598799,-0.072333133,1.87037964,4.364219159,25.85785461
glycine,Serum,0.696680493,0.019429573,0.223817739,-0.002402957,0.067145322,0.156672417,27.94279521
phosl_vldl_4_mg_dl,Serum,0.998282659,0.003805585,4.622233231,0.049527795,1.386669969,6.008903201,27.99781365
phosl_hdl_2_mg_dl,Serum,0.994023288,0.008590288,14.68861143,0.156331428,4.40658343,19.09519486,28.18744437
chol_hdl_2_mg_dl,Serum,0.991827951,0.007358501,8.8251844,0.090069267,2.64755532,11.47273972,29.39465832
tg_vldl_3_mg_dl,Serum,0.998445727,0.002495427,16.15564081,0.158559865,4.846692244,21.00233306,30.56695499
apo_a1_hdl_4_mg_dl,Serum,0.969673741,0.055982205,87.67461595,-0.816302658,26.30238478,61.37223116,32.22136364
apo_a2_hdl_1_mg_dl,Serum,0.994961125,0.002390797,3.51636658,0.03260557,1.054909974,4.571276554,32.35367375
tg_idl_mg_dl,Serum,0.998604494,0.00238897,25.16907323,-0.231412204,7.550721968,17.61835126,32.62888397
ldl_chol_hdl_chol,Serum,0.996044929,0.002649003,2.143198036,0.017033661,0.642959411,2.786157447,37.74640242
phosl_vldl_mg_dl,Serum,0.993571707,0.002960766,28.6919448,-0.2152908,8.60758344,20.08436136,39.98119491
leucine,Serum,0.652085271,0.007218746,0.122214411,0.000897598,0.036664323,0.158878735,40.84714911
tg_vldl_mg_dl,Serum,0.996894442,0.002360051,125.0241558,-0.902259308,37.50724675,87.51690909,41.57036277
apo_b_ldl_1_mg_dl,Serum,0.988719454,0.002170456,11.42321022,0.076064963,3.426963066,14.85017329,45.05310869
f_chol_hdl_3_mg_dl,Serum,0.94025535,0.008595072,2.836608227,0.018831962,0.850982468,3.687590695,45.18819957
ldl_1_particles_nmol_l,Serum,0.988735196,0.002137158,207.7560761,1.372220652,62.32682283,270.0828989,45.42040869
tg_ldl_3_mg_dl,Serum,0.998826765,0.001325348,3.057494962,0.019884173,0.917248488,3.97474345,46.12957681
phosl_vldl_3_mg_dl,Serum,0.994518143,0.001202711,4.998246391,0.031158935,1.499473917,6.497720308,48.12340106
f_chol_hdl_4_mg_dl,Serum,0.938259225,0.004939021,4.067581567,-0.024763595,1.22027447,2.847307097,49.27695244
apo_a2_hdl_mg_dl,Serum,0.920255463,0.074115222,38.84810557,-0.232150929,11.65443167,27.1936739,50.20196015
phosl_hdl_1_mg_dl,Serum,0.998391023,0.000800817,23.53935834,0.139706943,7.061807502,30.60116584,50.54729086
hdl_chol_mg_dl,Serum,0.993864206,0.003599026,61.49508395,-0.348813992,18.44852518,43.04655876,52.88929237
phosl_ldl_1_mg_dl,Serum,0.988036016,0.001767999,12.32768245,0.069019591,3.698304736,16.02598719,53.58340556
chol_ldl_2_mg_dl,Serum,0.965479448,0.000996487,13.2337464,-0.072924399,3.970123919,9.263622477,54.44164038
vldl_particles_nmol_l,Serum,0.996874011,0.001308251,181.3568769,0.963753847,54.40706308,235.76394,56.4532772
apo_b_vldl_mg_dl,Serum,0.996882181,0.001304821,9.974551106,0.052941482,2.992365332,12.96691644,56.52212974
apo_a2_mg_dl,Serum,0.920823357,0.071950111,38.45500173,-0.203733621,11.53650052,26.91850121,56.62541344
tg_vldl_5_mg_dl,Serum,0.979959353,0.002193055,2.470997901,-0.012932983,0.74129937,1.72969853,57.31851237
phosl_ldl_mg_dl,Serum,0.996818173,0.003449345,69.09513876,0.349810207,20.72854163,89.82368039,59.25653749
phosl_hdl_3_mg_dl,Serum,0.995694144,0.005609258,18.86374273,-0.095457121,5.659122818,13.20461991,59.28444897
valine,Serum,0.589778469,0.01494818,0.286064764,-0.001410794,0.085819429,0.200245334,60.83059176
lysine,Serum,0.574673098,0.000821597,0.165319383,0.000786769,0.049595815,0.214915198,63.0372894
chol_hdl_1_mg_dl,Serum,0.998166998,0.000477653,19.14928179,-0.086080298,5.744784536,13.40449725,66.73750785
chol_ldl_1_mg_dl,Serum,0.984156222,0.001111855,20.02183891,0.088093515,6.006551672,26.02839058,68.18381181
chol_vldl_1_mg_dl,Serum,0.994444967,0.00048281,9.739086843,0.041485526,2.921726053,12.6608129,70.42760017
f_chol_ldl_1_mg_dl,Serum,0.978639893,0.001163565,6.241003932,0.025766011,1.87230118,8.113305112,72.66554225
tyrosine,Serum,0.988904804,0.000721266,0.064253744,0.000224376,0.019276123,0.083529868,85.9099376
apo_b100_mg_dl,Serum,0.996690554,0.001227261,99.5611063,0.346015616,29.86833189,129.4294382,86.32076265
total_particles_apo_b_nmol_l,Serum,0.996694458,0.001227008,1810.307488,6.290518747,543.0922463,2353.399734,86.33504932
apo_b100_apo_a1,Serum,0.997902605,0.000674099,0.597019059,0.001996823,0.179105718,0.776124777,89.69532073
chol_mg_dl,Serum,0.991519938,0.003863632,218.0549026,0.727982898,65.41647078,283.4713734,89.85990044
ldl_chol_mg_dl,Serum,0.996387604,0.001568313,121.3288103,0.398564942,36.3986431,157.7274535,91.3242468
f_chol_ldl_5_mg_dl,Serum,0.979853816,0.000814526,6.523198104,0.019733649,1.956959431,8.480157535,99.16865356
phosl_ldl_2_mg_dl,Serum,0.964013508,0.000254257,7.760779798,0.018570034,2.328233939,10.08901374,125.37586
chol_ldl_5_mg_dl,Serum,0.97154808,0.000405379,25.06842902,-0.059671503,7.520528705,17.54790031,126.0321649
f_chol_vldl_mg_dl,Serum,0.995901161,0.000249731,11.27680758,0.025898736,3.383042274,14.65984986,130.6257655
chol_hdl_3_mg_dl,Serum,0.99245487,0.001145173,11.22413069,-0.025255115,3.367239208,7.856891485,133.3289968
pyruvate,Serum,0.898753587,0.000737107,0.132611682,0.00026472,0.039783505,0.172395187,150.285412
ldl_particles_nmol_l,Serum,0.995918097,0.000349613,1493.54482,2.758663408,448.0634459,1941.608265,162.420484
apo_b_ldl_mg_dl,Serum,0.995920337,0.000347339,82.1428361,0.151227317,24.64285083,106.7856869,162.9523776
alanine,Serum,0.878991875,0.000913895,0.511346623,0.000808896,0.153403987,0.66475061,189.6460944
phosl_vldl_2_mg_dl,Serum,0.995663092,6.87E-05,5.817621583,-0.00893693,1.745286475,4.072335108,195.2892537
tg_vldl_4_mg_dl,Serum,0.998514366,8.82E-05,9.404268928,-0.013044821,2.821280678,6.58298825,216.2759153
phosl_hdl_mg_dl,Serum,0.998089515,0.000245741,88.29177723,-0.117762871,26.48753317,61.80424406,224.9226171
apo_a1_hdl_mg_dl,Serum,0.993597717,0.000394474,174.3785425,-0.215557079,52.31356274,122.0649797,242.6900712
apo_a1_hdl_3_mg_dl,Serum,0.990331524,0.000473557,31.33368823,0.038085295,9.400106469,40.7337947,246.8172156
apo_a1_mg_dl,Serum,0.9933166,0.000308978,173.2872159,-0.18266932,51.98616478,121.3010511,284.5916591
apo_a1_hdl_2_mg_dl,Serum,0.996479583,0.000108188,24.16334307,-0.023223845,7.249002921,16.91434015,312.1362061
phosl_idl_mg_dl,Serum,0.996774852,3.10E-05,10.95790324,0.008282794,3.287370971,14.24527421,396.8915703
glucose,Serum,0.996354427,7.39E-05,5.498915648,0.003847392,1.649674694,7.148590342,428.7773869
f_chol_ldl_2_mg_dl,Serum,0.96658547,2.12E-05,4.516488455,-0.003148076,1.354946537,3.161541919,430.404667
lactate,Serum,0.971998635,2.98E-05,2.618223774,-0.001703962,0.785467132,1.832756642,460.9650852
tg_mg_dl,Serum,0.998834585,2.11E-05,185.0395863,-0.117597721,55.5118759,129.5277104,472.0489098
apo_a2_hdl_2_mg_dl,Serum,0.990730935,3.54E-05,4.55851413,0.002747645,1.367554239,5.926068368,497.7186669
apo_b_ldl_5_mg_dl,Serum,0.97880407,1.63E-05,17.84923946,-0.009373244,5.354771839,12.49446762,571.2826791
ldl_5_particles_nmol_l,Serum,0.978800231,1.61E-05,324.5440047,-0.169367457,97.36320142,227.1808033,574.8636906
apo_b_ldl_2_mg_dl,Serum,0.969644686,1.06E-05,8.077092274,0.003951288,2.423127682,10.50021996,613.2501336
ldl_2_particles_nmol_l,Serum,0.969611608,9.51E-06,146.8566975,0.068150421,44.05700924,190.9137067,646.4671644
tg_hdl_4_mg_dl,Serum,0.993885892,2.11E-05,4.97498349,0.002102752,1.492495047,6.467478537,709.7819009
tg_vldl_2_mg_dl,Serum,0.997718432,4.78E-06,23.83280221,0.009566298,7.149840663,30.98264287,747.3988691
phosl_ldl_5_mg_dl,Serum,0.975406222,1.12E-05,13.76831821,0.005413632,4.130495462,17.89881367,762.980452
apo_a2_hdl_3_mg_dl,Serum,0.988793582,2.11E-05,8.049991133,0.002401478,2.41499734,10.46498847,1005.629693
lactate,LiHep,0.812609668,0.290121483,1.098,0.16625,0.3294,1.4274,1.981353383
acetone,LiHep,0.767658968,0.121916067,0.015733333,0.001633333,0.00472,0.020453333,2.889795918
phenylalanine,LiHep,0.333418448,0.077707327,0.0256,0.001266667,0.00768,0.03328,6.063157895
glutamate,LiHep,0.939178048,0.018402345,0.057333333,0.002166667,0.0172,0.074533333,7.938461538
tg_hdl_1_mg_dl,LiHep,0.994138075,0.011420728,2.649666667,0.08325,0.7949,3.444566667,9.548348348
tg_ldl_4_mg_dl,LiHep,0.996594985,0.007868027,2.517666667,0.077,0.7553,3.272966667,9.809090909
tg_hdl_2_mg_dl,LiHep,0.994378911,0.012541594,1.443666667,0.03625,0.4331,1.876766667,11.94758621
histidine,LiHep,0.292132123,0.080201779,0.108666667,0.00225,0.0326,0.141266667,14.48888889
f_chol_ldl_6_mg_dl,LiHep,0.969209736,0.103094433,7.688333333,-0.147,2.3065,5.381833333,15.69047619
f_chol_vldl_2_mg_dl,LiHep,0.997764654,0.003256085,1.294,0.024216667,0.3882,1.6822,16.03028217
chol_ldl_6_mg_dl,LiHep,0.979370078,0.088291688,27.61933333,-0.460166667,8.2858,19.33353333,18.00608475
tg_hdl_mg_dl,LiHep,0.995663041,0.009619108,9.95,0.157083333,2.985,12.935,19.00265252
tg_vldl_1_mg_dl,LiHep,0.995285971,0.006876438,54.50533333,-0.83825,16.3516,38.15373333,19.5068297
ldl_6_particles_nmol_l,LiHep,0.973786515,0.074103741,409.8516667,-6.236333333,122.9555,286.8961667,19.7159923
apo_b_ldl_6_mg_dl,LiHep,0.973762767,0.074018421,22.542,-0.342916667,6.7626,15.7794,19.72082625
phosl_ldl_6_mg_dl,LiHep,0.981353885,0.081054082,15.195,-0.229333333,4.5585,10.6365,19.87718023
phosl_vldl_1_mg_dl,LiHep,0.997481586,0.004304044,7.563,-0.113,2.2689,5.2941,20.07876106
tg_idl_mg_dl,LiHep,0.998699874,0.004771393,15.01533333,-0.218833333,4.5046,10.51073333,20.58461538
f_chol_vldl_1_mg_dl,LiHep,0.996925963,0.002867726,2.922,-0.041833333,0.8766,2.0454,20.95458167
pyruvate,LiHep,0.981942142,0.009383215,0.111666667,0.001583333,0.0335,0.145166667,21.15789474
chol_vldl_3_mg_dl,LiHep,0.994807451,0.001847706,3.282666667,0.045583333,0.9848,4.267466667,21.60438757
phosl_ldl_4_mg_dl,LiHep,0.993091168,0.008378218,13.17966667,0.169166667,3.9539,17.13356667,23.37280788
f_chol_vldl_4_mg_dl,LiHep,0.99705666,0.001930806,2.051,0.026166667,0.6153,2.6663,23.51464968
apo_b_ldl_4_mg_dl,LiHep,0.994313614,0.006997848,15.58366667,0.192083333,4.6751,20.25876667,24.3389154
ldl_4_particles_nmol_l,LiHep,0.994308345,0.006977419,283.381,3.487416667,85.0143,368.3953,24.37744271
glucose,LiHep,0.76858618,0.223269434,5.723333333,-0.069166667,1.717,4.006333333,24.82409639
chol_ldl_4_mg_dl,LiHep,0.992492239,0.006899253,24.75333333,0.289,7.426,32.17933333,25.69550173
f_chol_ldl_2_mg_dl,LiHep,0.995712747,0.00356204,7.035333333,-0.078583333,2.1106,4.924733333,26.85811241
tg_ldl_2_mg_dl,LiHep,0.997959006,0.001737751,2.101533333,0.022633333,0.63046,2.731993333,27.85537555
tg_ldl_5_mg_dl,LiHep,0.995238716,0.001532723,2.573,0.027583333,0.7719,3.3449,27.98429003
chol_ldl_2_mg_dl,LiHep,0.997564648,0.002095648,18.318,-0.188,5.4954,12.8226,29.23085106
glycine,LiHep,0.838465412,0.01435298,0.146333333,0.0015,0.0439,0.190233333,29.26666667
apo_b_ldl_2_mg_dl,LiHep,0.995087298,0.002949119,10.42366667,-0.104083333,3.1271,7.296566667,30.04419536
ldl_2_particles_nmol_l,LiHep,0.995096908,0.002931017,189.5026667,-1.88675,56.8508,132.6518667,30.13160196
tg_vldl_mg_dl,LiHep,0.997740629,0.003615472,98.983,-0.972583333,29.6949,69.2881,30.53198526
chol_hdl_2_mg_dl,LiHep,0.997543332,0.003883577,7.996,0.077916667,2.3988,10.3948,30.78673797
phosl_hdl_2_mg_dl,LiHep,0.998223548,0.004080077,12.603,0.12025,3.7809,16.3839,31.44199584
lysine,LiHep,0.696365001,0.004934579,0.138333333,0.001283333,0.0415,0.179833333,32.33766234
tg_ldl_6_mg_dl,LiHep,0.985092882,0.015062846,5.235666667,-0.047666667,1.5707,3.664966667,32.95174825
leucine,LiHep,0.790697624,0.007094953,0.101,0.000916667,0.0303,0.1313,33.05454545
chol_hdl_4_mg_dl,LiHep,0.989897848,0.019059375,25.693,-0.233166667,7.7079,17.9851,33.05746962
chol_vldl_2_mg_dl,LiHep,0.995465184,0.001116413,3.418333333,0.02975,1.0255,4.443833333,34.47058824
apo_a2_hdl_4_mg_dl,LiHep,0.984750005,0.01896554,24.96833333,-0.213416667,7.4905,17.47783333,35.09800859
f_chol_hdl_4_mg_dl,LiHep,0.957722424,0.02041572,6.579333333,-0.055666667,1.9738,4.605533333,35.45748503
phosl_ldl_2_mg_dl,LiHep,0.996694404,0.001702169,10.16433333,-0.085333333,3.0493,7.115033333,35.73398437
f_chol_ldl_4_mg_dl,LiHep,0.993034969,0.006223946,7.715666667,0.062916667,2.3147,10.03036667,36.78993377
phosl_hdl_4_mg_dl,LiHep,0.982574884,0.030803797,34.69,-0.275666667,10.407,24.283,37.75211608
tg_vldl_2_mg_dl,LiHep,0.998092511,0.00143579,16.731,-0.1275,5.0193,11.7117,39.36705882
apo_a1_hdl_1_mg_dl,LiHep,0.998907269,0.000343423,26.59466667,0.191,7.9784,34.57306667,41.77172775
f_chol_vldl_3_mg_dl,LiHep,0.997858973,0.000505374,1.445333333,0.01,0.4336,1.878933333,43.36
tg_ldl_mg_dl,LiHep,0.995688499,0.001385554,20.42733333,0.1395,6.1282,26.55553333,43.9297491
phosl_vldl_mg_dl,LiHep,0.998124789,0.001622411,22.957,-0.152666667,6.8871,16.0699,45.11200873
f_chol_hdl_3_mg_dl,LiHep,0.975056753,0.009183256,3.924,-0.02525,1.1772,2.7468,46.62178218
methionine,LiHep,0.731529789,0.013590935,0.084333333,-0.0005,0.0253,0.059033333,50.6
tg_mg_dl,LiHep,0.999143365,0.001903449,147.825,-0.866,44.3475,103.4775,51.2095843
tg_vldl_4_mg_dl,LiHep,0.997648573,0.000708595,8.161333333,-0.047666667,2.4484,5.712933333,51.36503497
chol_ldl_5_mg_dl,LiHep,0.995843986,0.002394822,22.57633333,-0.126,6.7729,15.80343333,53.7531746
apo_a2_hdl_1_mg_dl,LiHep,0.999135596,0.000282099,3.067666667,0.016583333,0.9203,3.987966667,55.49547739
chol_vldl_mg_dl,LiHep,0.997880426,0.000578589,20.67566667,0.111583333,6.2027,26.87836667,55.58805078
apo_a1_hdl_4_mg_dl,LiHep,0.991355961,0.012674875,96.16366667,-0.517166667,28.8491,67.31456667,55.78298421
phosl_vldl_2_mg_dl,LiHep,0.998927679,0.000491824,3.651333333,-0.019583333,1.0954,2.555933333,55.93531915
glycerol,LiHep,0.655133823,0.00153518,0.222,0.001183333,0.0666,0.2886,56.28169014
ldl_5_particles_nmol_l,LiHep,0.996089013,0.001736825,279.124,-1.474416667,83.7372,195.3868,56.79344373
apo_b_ldl_5_mg_dl,LiHep,0.996105442,0.001736529,15.35133333,-0.081083333,4.6054,10.74593333,56.7983556
phosl_ldl_3_mg_dl,LiHep,0.995763153,0.001260381,12.34366667,0.059583333,3.7031,16.04676667,62.14993007
ldl_3_particles_nmol_l,LiHep,0.995908635,0.001221927,239.6196667,1.15325,71.8859,311.5055667,62.33331888
apo_b_ldl_3_mg_dl,LiHep,0.99591499,0.001212064,13.17966667,0.063166667,3.9539,17.13356667,62.59472296
f_chol_ldl_3_mg_dl,LiHep,0.997152104,0.001137942,7.541333333,0.036083333,2.2624,9.803733333,62.69930716
phosl_hdl_1_mg_dl,LiHep,0.999261025,0.000178437,21.65133333,0.096583333,6.4954,28.14673333,67.25176877
phosl_ldl_5_mg_dl,LiHep,0.996020663,0.001548843,12.01466667,-0.05275,3.6044,8.410266667,68.32985782
f_chol_ldl_5_mg_dl,LiHep,0.992154193,0.002196761,6.863333333,-0.029416667,2.059,4.804333333,69.99433428
f_chol_hdl_2_mg_dl,LiHep,0.991213991,0.001441019,2.994333333,0.012166667,0.8983,3.892633333,73.83287671
chol_ldl_3_mg_dl,LiHep,0.995368312,0.000703442,22.81233333,0.090666667,6.8437,29.65603333,75.48198529
phosl_idl_mg_dl,LiHep,0.998036606,0.00110347,8.176333333,-0.031416667,2.4529,5.723433333,78.07639257
tg_hdl_3_mg_dl,LiHep,0.997958597,0.000385161,2.229,0.00825,0.6687,2.8977,81.05454545
citrate,LiHep,0.699823347,0.000728145,0.087466667,-0.000316667,0.02624,0.061226667,82.86315789
tyrosine,LiHep,0.817085663,0.00273717,0.048,0.000166667,0.0144,0.0624,86.4
apo_a2_hdl_mg_dl,LiHep,0.984434012,0.005456151,39.23933333,-0.125166667,11.7718,27.46753333,94.04900133
apo_a2_mg_dl,LiHep,0.981560565,0.005761101,39.35333333,-0.125083333,11.806,27.54733333,94.38507662
phosl_ldl_1_mg_dl,LiHep,0.997738606,0.000421442,13.85633333,0.042083333,4.1569,18.01323333,98.77782178
alanine,LiHep,0.983508799,0.001259101,0.39,0.001166667,0.117,0.507,100.2857143
chol_ldl_1_mg_dl,LiHep,0.998002184,0.000363258,24.48066667,0.072583333,7.3442,31.82486667,101.183008
glutamine,LiHep,0.931376747,0.004647607,0.743333333,-0.002083333,0.223,0.520333333,107.04
ldl_particles_nmol_l,LiHep,0.998616914,0.000916875,1603.871,-4.375916667,481.1613,1122.7097,109.9566872
apo_b_ldl_mg_dl,LiHep,0.99861874,0.000916276,88.20733333,-0.240583333,26.4622,61.74513333,109.9918254
tg_hdl_4_mg_dl,LiHep,0.998104374,0.000306188,3.837666667,-0.00975,1.1513,2.686366667,118.0820513
ldl_chol_mg_dl,LiHep,0.998314856,0.000619363,140.8303333,-0.34275,42.2491,98.58123333,123.265062
ldl_1_particles_nmol_l,LiHep,0.997972506,0.000235238,244.1913333,0.56125,73.2574,317.4487333,130.5254343
phosl_hdl_3_mg_dl,LiHep,0.996098357,0.000963963,19.484,-0.044416667,5.8452,13.6388,131.5992495
apo_b_ldl_1_mg_dl,LiHep,0.997969849,0.000230942,13.43133333,0.030583333,4.0294,17.46073333,131.7514986
tg_ldl_1_mg_dl,LiHep,0.995680308,0.000101135,6.004333333,0.0135,1.8013,7.805633333,133.4296296
chol_idl_mg_dl,LiHep,0.997369051,0.000118833,15.456,0.034666667,4.6368,20.0928,133.7538462
f_chol_hdl_1_mg_dl,LiHep,0.999021973,0.000110468,6.684333333,0.014833333,2.0053,8.689633333,135.188764
hdl_chol_mg_dl,LiHep,0.999082739,0.00030349,64.76033333,-0.133083333,19.4281,45.33223333,145.9844709
tg_vldl_3_mg_dl,LiHep,0.996380043,8.12E-05,12.122,-0.02475,3.6366,8.4854,146.9333333
f_chol_idl_mg_dl,LiHep,0.997869575,8.03E-05,4.062,0.00775,1.2186,5.2806,157.2387097
chol_vldl_1_mg_dl,LiHep,0.99815622,7.58E-05,8.616,0.01625,2.5848,11.2008,159.0646154
f_chol_hdl_mg_dl,LiHep,0.997592959,0.000247553,19.79166667,0.03575,5.9375,25.72916667,166.0839161
phosl_vldl_4_mg_dl,LiHep,0.99830671,4.95E-05,3.985333333,0.007,1.1956,5.180933333,170.8
total_particles_apo_b_nmol_l,LiHep,0.997971764,0.000420115,1912.704333,-3.290333333,573.8113,1338.893033,174.3930605
apo_b100_mg_dl,LiHep,0.997973344,0.000419501,105.1933333,-0.180833333,31.558,73.63533333,174.5142857
apo_b_idl_mg_dl,LiHep,0.998407806,5.44E-05,5.859,0.009416667,1.7577,7.6167,186.6584071
idl_particles_nmol_l,LiHep,0.99840987,5.34E-05,106.5356667,0.169583333,31.9607,138.4963667,188.4660442
tg_vldl_5_mg_dl,LiHep,0.998112722,0.000155186,3.180666667,-0.004916667,0.9542,2.226466667,194.0745763
apo_a2_hdl_3_mg_dl,LiHep,0.989486571,0.000445985,8.063666667,-0.011916667,2.4191,5.644566667,203.0013986
